order_id,customer_id,product_id,product_category,order_date,quantity,unit_price,total_price,region
29,CUST018432,PROD0173,Home,2023-01-31,5,600.97,3004.85,South
30,CUST002748,PROD0166,Electronics,2023-11-15,3,717.24,2151.72,South
31,CUST059151,PROD0036,Books,2023-12-20,3,634.98,1904.94,South
32,CUST065726,PROD0175,Home,2024-04-26,1,59.31,59.31,North
33,CUST084655,PROD0088,Clothing,2024-08-17,2,277.77,555.54,South
34,CUST035774,PROD0064,Clothing,2023-06-03,4,322.24,1288.96,North
35,CUST067436,PROD0138,Electronics,2024-08-24,5,537.9,2689.5,North
36,CUST056887,PROD0174,Electronics,2024-06-09,3,300.5,901.5,West
37,CUST066804,PROD0023,Clothing,2024-12-26,4,506.02,2024.08,East
38,CUST031552,PROD0135,Books,2023-01-29,5,111.59,557.95,South
39,CUST011395,PROD0039,Home,2023-05-30,2,73.86,147.72,South
40,CUST069093,PROD0136,Electronics,2024-12-16,1,472.52,472.52,South
41,CUST003891,PROD0164,Electronics,2024-11-11,1,666.8,666.8,East
42,CUST041607,PROD0176,Home,2024-10-22,4,295.86,1183.44,West
43,CUST096277,PROD0061,Home,2024-05-05,5,537.62,2688.1,North
44,CUST080039,PROD0057,Clothing,2024-03-24,1,665.44,665.44,North
45,CUST087314,PROD0018,Electronics,2023-01-15,2,343.36,686.72,North
46,CUST010628,PROD0028,Clothing,2024-10-10,1,268.7,268.7,West
47,CUST008793,PROD0007,Home,2024-12-07,5,735.18,3675.9,North
48,CUST073970,PROD0150,Clothing,2024-04-19,1,569.77,569.77,North
49,CUST043002,PROD0070,Electronics,2023-12-18,3,777.54,2332.62,South
50,CUST076553,PROD0082,Books,2023-02-01,2,786.32,1572.64,West
51,CUST023898,PROD0103,Clothing,2023-04-07,5,433.74,2168.7,South
52,CUST068149,PROD0092,Electronics,2023-10-25,3,240.71,722.13,East
53,CUST023484,PROD0013,Electronics,2023-10-23,5,225.03,1125.15,North
54,CUST048556,PROD0111,Electronics,2024-01-06,2,12.36,24.72,South
55,CUST017160,PROD0049,Books,2023-04-21,4,604.67,2418.68,South
56,CUST080078,PROD0145,Home,2024-09-27,3,461.24,1383.72,West
57,CUST035921,PROD0119,Clothing,2024-02-26,5,459.9,2299.5,South
58,CUST092068,PROD0088,Books,2024-11-20,1,494.72,494.72,West
59,CUST067122,PROD0161,Books,2023-02-19,3,229.5,688.5,West
60,CUST069480,PROD0182,Home,2024-03-08,5,479.3,2396.5,West
61,CUST089476,PROD0043,Electronics,2023-10-23,2,519.48,1038.96,South
62,CUST019458,PROD0095,Books,2023-10-04,2,297.03,594.06,North
63,CUST066558,PROD0004,Electronics,2023-03-03,4,764.8,3059.2,South
64,CUST077190,PROD0079,Home,2024-09-24,2,776.04,1552.08,North
65,CUST078954,PROD0071,Electronics,2023-11-18,3,792.16,2376.48,East
66,CUST052996,PROD0137,Home,2024-06-23,3,207.51,622.53,South
67,CUST040758,PROD0123,Electronics,2024-11-25,5,59.65,298.25,North
68,CUST009693,PROD0090,Books,2024-06-17,4,75.27,301.08,North
69,CUST045759,PROD0094,Books,2024-02-12,1,632.04,632.04,East
70,CUST072410,PROD0134,Electronics,2023-12-07,1,238.13,238.13,South
71,CUST071212,PROD0026,Electronics,2024-06-03,5,94.9,474.5,West
72,CUST065698,PROD0064,Clothing,2024-11-08,3,192.8,578.4,West
73,CUST037066,PROD0031,Books,2024-11-28,5,579.41,2897.05,North
74,CUST092094,PROD0063,Electronics,2023-06-15,5,269.71,1348.55,West
75,CUST099300,PROD0102,Clothing,2024-10-09,1,528.32,528.32,East
76,CUST032607,PROD0115,Electronics,2023-03-18,4,248.28,993.12,South
77,CUST011535,PROD0122,Books,2023-07-21,2,704.11,1408.22,North
78,CUST094664,PROD0160,Electronics,2024-09-20,2,472.35,944.7,South
79,CUST040398,PROD0197,Books,2024-04-05,5,788.46,3942.3,North
80,CUST091388,PROD0097,Home,2024-06-17,2,206.52,413.04,West
81,CUST001017,PROD0188,Books,2023-07-23,4,77.13,308.52,East
82,CUST089790,PROD0100,Clothing,2023-02-24,3,25.06,75.18,East
83,CUST055592,PROD0154,Electronics,2024-09-27,2,775.9,1551.8,West
84,CUST089813,PROD0043,Clothing,2024-09-24,3,131.67,395.01,West
85,CUST023248,PROD0040,Clothing,2023-09-20,3,366.21,1098.63,West
86,CUST024301,PROD0111,Electronics,2023-04-29,1,410.99,410.99,North
87,CUST074066,PROD0052,Clothing,2023-02-09,1,671.59,671.59,South
88,CUST082799,PROD0168,Home,2024-09-16,1,783.34,783.34,South
89,CUST009269,PROD0055,Electronics,2024-09-29,3,762.83,2288.49,South
90,CUST086808,PROD0156,Books,2024-12-09,1,579.21,579.21,South
91,CUST012186,PROD0067,Books,2023-12-11,3,655.94,1967.82,South
92,CUST063705,PROD0065,Clothing,2024-11-06,2,197.25,394.5,North
93,CUST086780,PROD0068,Clothing,2023-01-23,1,367.45,367.45,East
94,CUST039100,PROD0089,Electronics,2023-09-01,2,702.09,1404.18,East
95,CUST008572,PROD0137,Books,2024-11-20,3,416.04,1248.12,East
96,CUST038045,PROD0033,Electronics,2023-11-19,1,433.97,433.97,West
97,CUST051215,PROD0198,Home,2023-11-11,1,656.49,656.49,South
98,CUST061229,PROD0065,Clothing,2023-02-20,1,777.29,777.29,East
99,CUST048985,PROD0116,Clothing,2024-02-28,2,363.79,727.58,North
100,CUST040775,PROD0046,Home,2023-09-04,1,709.23,709.23,North
101,CUST002569,PROD0031,Books,2024-07-01,1,307.89,307.89,South
102,CUST062593,PROD0155,Clothing,2024-08-27,4,59.17,236.68,East
103,CUST067564,PROD0063,Electronics,2024-11-28,1,769.04,769.04,South
104,CUST002696,PROD0126,Clothing,2023-08-11,3,611.56,1834.68,North
105,CUST048191,PROD0072,Clothing,2024-01-14,3,74.04,222.12,South
106,CUST005259,PROD0090,Books,2023-12-08,4,46.95,187.8,East
107,CUST087539,PROD0154,Clothing,2023-10-28,4,397.79,1591.16,East
108,CUST039505,PROD0099,Books,2023-03-13,5,238.64,1193.2,East
109,CUST033160,PROD0112,Home,2024-11-20,1,477.65,477.65,North
110,CUST013987,PROD0102,Electronics,2023-08-01,3,63.19,189.57,West
111,CUST061859,PROD0067,Home,2024-10-01,3,499.54,1498.62,South
112,CUST012667,PROD0079,Books,2024-09-12,5,289.75,1448.75,North
113,CUST038661,PROD0044,Books,2024-02-14,4,301.49,1205.96,West
114,CUST003562,PROD0133,Books,2024-02-17,2,516.58,1033.16,North
115,CUST026855,PROD0120,Home,2024-12-27,1,522.09,522.09,South
116,CUST064506,PROD0124,Electronics,2024-06-19,2,746.01,1492.02,South
117,CUST052252,PROD0095,Clothing,2023-06-30,2,147.21,294.42,West
118,CUST022663,PROD0005,Books,2023-08-07,1,433.3,433.3,North
119,CUST008393,PROD0009,Books,2023-03-26,5,290.24,1451.2,South
120,CUST030536,PROD0088,Home,2024-03-31,5,309.38,1546.9,West
121,CUST078604,PROD0199,Clothing,2023-09-13,4,72.99,291.96,South
122,CUST052257,PROD0134,Books,2023-01-22,5,282.39,1411.95,North
123,CUST089136,PROD0053,Clothing,2024-02-16,2,84.68,169.36,East
124,CUST035223,PROD0037,Books,2023-06-30,4,553.32,2213.28,South
125,CUST077374,PROD0156,Clothing,2024-03-29,4,546.39,2185.56,East
126,CUST079576,PROD0068,Home,2024-08-03,2,790.9,1581.8,West
127,CUST096355,PROD0018,Books,2023-10-15,4,322.04,1288.16,East
128,CUST084652,PROD0127,Electronics,2024-03-16,4,751.07,3004.28,East
129,CUST063336,PROD0080,Clothing,2024-02-23,2,303.57,607.14,East
130,CUST010966,PROD0029,Clothing,2023-09-19,5,529.52,2647.6,East
131,CUST024539,PROD0061,Clothing,2023-05-19,3,336.59,1009.77,South
132,CUST070593,PROD0033,Home,2023-05-19,1,749.2,749.2,South
133,CUST098019,PROD0079,Clothing,2024-11-01,3,66.85,200.55,West
134,CUST008111,PROD0059,Home,2023-04-09,1,96.85,96.85,East
135,CUST079310,PROD0027,Clothing,2023-11-17,3,797.32,2391.96,North
136,CUST027267,PROD0125,Clothing,2023-01-05,3,177.56,532.68,North
137,CUST052993,PROD0023,Electronics,2023-12-19,4,741.88,2967.52,East
138,CUST082949,PROD0046,Electronics,2024-01-20,3,568.37,1705.11,North
139,CUST098807,PROD0151,Home,2024-05-05,2,717.55,1435.1,West
140,CUST006911,PROD0038,Clothing,2024-05-01,3,576.5,1729.5,North
141,CUST090983,PROD0010,Books,2023-08-28,1,559.43,559.43,East
142,CUST000207,PROD0067,Books,2023-01-31,3,539.61,1618.83,East
143,CUST087055,PROD0061,Electronics,2023-04-28,3,569.26,1707.78,East
144,CUST087898,PROD0014,Electronics,2024-11-21,2,655.07,1310.14,West
145,CUST023420,PROD0090,Books,2024-08-09,5,340.46,1702.3,South
146,CUST050637,PROD0062,Books,2024-03-27,5,481.78,2408.9,South
147,CUST050016,PROD0087,Clothing,2023-12-25,5,63.56,317.8,South
148,CUST054269,PROD0017,Clothing,2023-08-25,1,402.56,402.56,West
149,CUST087940,PROD0020,Clothing,2023-12-12,2,760.6,1521.2,North
150,CUST018142,PROD0131,Books,2023-08-02,1,137.51,137.51,South
151,CUST080357,PROD0121,Home,2024-11-22,2,139.57,279.14,West
152,CUST071911,PROD0141,Books,2023-07-06,3,162.03,486.09,North
153,CUST056045,PROD0121,Home,2024-05-05,5,221.41,1107.05,South
154,CUST067215,PROD0167,Clothing,2024-11-22,5,172.2,861,East
155,CUST033828,PROD0181,Electronics,2024-04-29,2,797.08,1594.16,South
156,CUST055821,PROD0062,Electronics,2023-03-11,2,288.65,577.3,South
157,CUST062624,PROD0053,Books,2023-06-08,5,313.31,1566.55,West
158,CUST081735,PROD0196,Home,2023-02-27,3,123.38,370.14,South
159,CUST075451,PROD0016,Electronics,2023-06-25,5,493.44,2467.2,East
160,CUST093427,PROD0186,Home,2023-06-15,1,578.44,578.44,West
161,CUST022300,PROD0089,Electronics,2023-12-25,3,374.12,1122.36,West
162,CUST043586,PROD0120,Clothing,2024-02-15,4,522.92,2091.68,East
163,CUST064045,PROD0037,Electronics,2023-09-08,2,439.78,879.56,East
164,CUST042558,PROD0103,Home,2023-08-27,4,514.95,2059.8,West
165,CUST049081,PROD0085,Clothing,2024-09-18,1,208.48,208.48,South
166,CUST002694,PROD0106,Electronics,2024-06-13,2,204.54,409.08,North
167,CUST095004,PROD0071,Books,2023-04-09,4,308.71,1234.84,South
168,CUST095260,PROD0002,Home,2024-06-24,1,660.97,660.97,South
169,CUST069164,PROD0134,Electronics,2023-07-30,5,444.6,2223,North
170,CUST025940,PROD0088,Electronics,2023-02-27,5,571.63,2858.15,North
171,CUST048926,PROD0127,Electronics,2024-11-27,5,716.83,3584.15,West
172,CUST042942,PROD0017,Home,2023-05-01,1,417.42,417.42,East
173,CUST021835,PROD0004,Electronics,2023-04-30,2,416.66,833.32,West
174,CUST018048,PROD0022,Electronics,2024-10-16,4,451.65,1806.6,South
175,CUST026106,PROD0094,Books,2024-08-19,2,474.76,949.52,South
176,CUST075767,PROD0094,Electronics,2023-01-26,1,339.18,339.18,North
177,CUST015708,PROD0054,Electronics,2024-01-21,3,628.86,1886.58,South
178,CUST021977,PROD0061,Electronics,2024-12-31,2,736,1472,South
179,CUST044263,PROD0185,Electronics,2023-11-23,1,612.5,612.5,North
180,CUST023777,PROD0011,Electronics,2023-08-16,2,675,1350,East
181,CUST030081,PROD0115,Books,2024-04-17,4,524.53,2098.12,East
182,CUST066843,PROD0068,Electronics,2024-01-04,4,645,2580,South
183,CUST061374,PROD0087,Electronics,2023-07-29,4,228.03,912.12,South
184,CUST006777,PROD0065,Electronics,2023-03-22,5,540.6,2703,South
185,CUST092788,PROD0112,Clothing,2024-08-01,5,363.36,1816.8,North
186,CUST055017,PROD0118,Books,2024-05-29,3,682.14,2046.42,West
187,CUST009475,PROD0024,Home,2024-03-13,2,547.41,1094.82,South
188,CUST058054,PROD0103,Electronics,2024-04-02,2,98.69,197.38,East
189,CUST021960,PROD0017,Clothing,2024-03-02,4,306.5,1226,East
190,CUST005531,PROD0179,Books,2024-10-29,5,273.26,1366.3,South
191,CUST094857,PROD0161,Electronics,2023-02-24,4,128.85,515.4,North
192,CUST003749,PROD0192,Home,2024-04-11,1,369.03,369.03,West
193,CUST097505,PROD0051,Books,2024-01-29,3,299.51,898.53,West
194,CUST098099,PROD0042,Electronics,2024-03-27,1,765.99,765.99,South
195,CUST013546,PROD0175,Clothing,2024-03-17,5,799.35,3996.75,West
196,CUST066200,PROD0125,Electronics,2023-11-22,1,798.38,798.38,South
197,CUST034767,PROD0011,Books,2023-05-15,2,59.37,118.74,East
198,CUST073531,PROD0084,Books,2023-09-02,1,600.6,600.6,South
199,CUST093558,PROD0194,Books,2024-06-09,1,330.67,330.67,East
200,CUST061088,PROD0200,Electronics,2024-11-26,4,514.38,2057.52,South
201,CUST095840,PROD0196,Home,2024-07-10,5,573.77,2868.85,West
202,CUST068841,PROD0045,Electronics,2023-04-04,3,630.77,1892.31,North
203,CUST054385,PROD0008,Electronics,2024-05-23,3,520.98,1562.94,East
204,CUST051006,PROD0176,Books,2023-08-14,3,156.01,468.03,South
205,CUST046577,PROD0195,Home,2023-08-21,5,230.18,1150.9,East
206,CUST039354,PROD0197,Clothing,2023-12-22,1,471.87,471.87,North
207,CUST062004,PROD0192,Home,2023-01-08,1,89.36,89.36,North
208,CUST083212,PROD0056,Electronics,2023-01-02,2,471.74,943.48,North
209,CUST052734,PROD0009,Clothing,2024-12-05,5,704.33,3521.65,East
210,CUST065319,PROD0123,Home,2023-08-24,5,581.44,2907.2,North
211,CUST089475,PROD0077,Clothing,2023-02-04,3,471.17,1413.51,East
212,CUST023665,PROD0008,Electronics,2024-10-17,3,367.75,1103.25,South
213,CUST067173,PROD0194,Books,2024-04-16,3,268.31,804.93,North
214,CUST085617,PROD0180,Clothing,2023-04-01,1,303.36,303.36,West
215,CUST093265,PROD0067,Clothing,2024-10-23,5,777.36,3886.8,East
216,CUST026737,PROD0040,Home,2024-07-25,5,726.48,3632.4,South
217,CUST094210,PROD0096,Electronics,2023-01-28,5,74.12,370.6,North
218,CUST000855,PROD0138,Books,2024-05-15,1,170.4,170.4,South
219,CUST090085,PROD0032,Home,2024-01-15,3,436.53,1309.59,East
220,CUST038624,PROD0110,Books,2023-07-24,4,351.09,1404.36,West
221,CUST007393,PROD0158,Home,2023-09-03,2,404.47,808.94,South
222,CUST055681,PROD0105,Books,2023-03-11,1,793.7,793.7,North
223,CUST046718,PROD0181,Home,2023-03-20,1,292.43,292.43,West
224,CUST087093,PROD0149,Home,2023-04-05,2,259.09,518.18,South
225,CUST050860,PROD0153,Clothing,2024-11-03,2,662.05,1324.1,North
226,CUST026310,PROD0045,Clothing,2024-09-13,5,213.94,1069.7,North
227,CUST087456,PROD0032,Electronics,2024-02-02,1,492.75,492.75,West
228,CUST063735,PROD0182,Clothing,2024-08-30,2,723.87,1447.74,North
229,CUST070468,PROD0142,Clothing,2024-01-16,3,202.39,607.17,North
230,CUST052663,PROD0094,Electronics,2024-10-11,5,382.96,1914.8,North
231,CUST098507,PROD0105,Electronics,2024-08-26,1,25.95,25.95,North
232,CUST012689,PROD0045,Electronics,2023-04-06,3,736.73,2210.19,North
233,CUST025343,PROD0080,Clothing,2023-02-12,1,113.71,113.71,North
234,CUST037158,PROD0147,Clothing,2023-04-07,2,27.34,54.68,East
235,CUST067864,PROD0153,Books,2024-01-08,4,283.08,1132.32,North
236,CUST052084,PROD0003,Home,2024-06-17,5,313.34,1566.7,South
237,CUST065734,PROD0119,Books,2023-07-02,5,92.27,461.35,South
238,CUST089046,PROD0058,Electronics,2023-05-07,2,138.91,277.82,East
239,CUST034699,PROD0104,Clothing,2024-05-14,4,366.81,1467.24,North
240,CUST080624,PROD0103,Electronics,2023-09-07,5,688.6,3443,West
241,CUST022672,PROD0180,Electronics,2024-03-10,2,508.34,1016.68,North
242,CUST025185,PROD0023,Home,2024-10-18,2,60.87,121.74,North
243,CUST093385,PROD0171,Electronics,2023-06-26,4,676.65,2706.6,South
244,CUST042108,PROD0175,Electronics,2023-02-28,2,216.19,432.38,North
245,CUST086203,PROD0126,Clothing,2024-10-28,1,241.29,241.29,South
246,CUST051664,PROD0195,Clothing,2023-10-09,1,788.22,788.22,South
247,CUST015709,PROD0195,Electronics,2023-04-21,1,434.09,434.09,North
248,CUST091907,PROD0196,Books,2023-07-30,5,518.33,2591.65,East
249,CUST049812,PROD0152,Clothing,2023-08-01,2,461.3,922.6,South
250,CUST002812,PROD0090,Home,2024-11-17,3,782.58,2347.74,North
251,CUST056251,PROD0150,Electronics,2023-02-28,3,251.28,753.84,North
252,CUST072083,PROD0065,Home,2023-03-19,4,662.66,2650.64,East
253,CUST034755,PROD0191,Home,2023-02-09,4,21.02,84.08,West
254,CUST095743,PROD0164,Books,2023-11-18,2,126.87,253.74,West
255,CUST011412,PROD0017,Electronics,2023-03-11,1,452.57,452.57,North
256,CUST002912,PROD0093,Electronics,2023-01-10,5,33.1,165.5,North
257,CUST067271,PROD0004,Clothing,2023-01-02,1,512.22,512.22,South
258,CUST083764,PROD0104,Electronics,2023-08-26,4,331.92,1327.68,West
259,CUST008681,PROD0166,Clothing,2023-12-06,2,423.35,846.7,North
260,CUST084897,PROD0026,Home,2024-08-15,3,56.29,168.87,North
261,CUST083880,PROD0026,Clothing,2024-07-12,5,773.1,3865.5,South
262,CUST071296,PROD0062,Home,2024-12-14,4,290.98,1163.92,East
263,CUST088615,PROD0046,Books,2024-04-23,2,357.39,714.78,South
264,CUST011112,PROD0200,Clothing,2023-07-03,4,234.53,938.12,South
265,CUST037505,PROD0110,Home,2024-11-18,3,154.81,464.43,North
266,CUST001803,PROD0140,Electronics,2024-01-16,2,438.8,877.6,West
267,CUST008156,PROD0130,Books,2023-06-30,4,661.64,2646.56,East
268,CUST073657,PROD0027,Home,2023-12-29,1,109.5,109.5,North
269,CUST039385,PROD0166,Electronics,2023-07-14,5,500.72,2503.6,North
270,CUST047255,PROD0141,Clothing,2024-01-19,3,566.41,1699.23,East
271,CUST021919,PROD0056,Clothing,2023-02-22,4,599.97,2399.88,East
272,CUST085982,PROD0004,Electronics,2024-07-09,2,320.17,640.34,West
273,CUST060714,PROD0004,Books,2024-06-24,5,643.47,3217.35,West
274,CUST030307,PROD0181,Electronics,2023-05-23,4,264.61,1058.44,West
275,CUST016647,PROD0068,Clothing,2023-04-24,5,271.12,1355.6,West
276,CUST046844,PROD0189,Electronics,2024-07-06,3,636.25,1908.75,East
277,CUST096602,PROD0077,Clothing,2024-01-17,2,174.49,348.98,West
278,CUST090736,PROD0074,Clothing,2024-05-23,3,199.78,599.34,East
279,CUST016372,PROD0047,Books,2024-02-03,5,184,920,North
280,CUST077372,PROD0041,Books,2023-01-27,3,779.69,2339.07,West
281,CUST002050,PROD0055,Clothing,2024-03-23,3,268.8,806.4,East
282,CUST031617,PROD0133,Clothing,2024-03-20,5,328.44,1642.2,South
283,CUST020933,PROD0103,Home,2023-08-17,3,125.48,376.44,West
284,CUST029856,PROD0132,Electronics,2024-09-17,2,199.7,399.4,South
285,CUST061435,PROD0182,Clothing,2024-11-20,1,270.07,270.07,West
286,CUST072695,PROD0149,Clothing,2024-06-20,3,715.89,2147.67,North
287,CUST043017,PROD0065,Electronics,2024-02-07,4,679.38,2717.52,South
288,CUST007401,PROD0003,Clothing,2024-07-13,2,455.3,910.6,North
289,CUST042643,PROD0155,Books,2024-07-11,2,442.51,885.02,East
290,CUST015152,PROD0197,Books,2024-02-11,1,98.8,98.8,South
291,CUST051408,PROD0060,Electronics,2024-08-03,3,481.63,1444.89,East
292,CUST066691,PROD0178,Electronics,2023-12-23,5,314.21,1571.05,East
293,CUST004500,PROD0117,Home,2024-12-13,2,48.26,96.52,West
294,CUST006296,PROD0105,Clothing,2024-05-01,5,256.11,1280.55,North
295,CUST059041,PROD0195,Clothing,2024-10-07,5,94.53,472.65,South
296,CUST012184,PROD0122,Electronics,2023-07-13,1,375.81,375.81,North
297,CUST029300,PROD0100,Clothing,2024-04-29,1,489.7,489.7,West
298,CUST012875,PROD0169,Electronics,2023-01-30,5,795.78,3978.9,North
299,CUST032712,PROD0087,Books,2023-05-02,4,396.5,1586,North
300,CUST005540,PROD0123,Clothing,2023-05-23,1,604.19,604.19,South
301,CUST053352,PROD0070,Clothing,2024-12-28,1,597.28,597.28,East
302,CUST061268,PROD0014,Electronics,2023-04-15,4,267.44,1069.76,East
303,CUST048355,PROD0158,Clothing,2024-12-18,3,275.99,827.97,West
304,CUST002558,PROD0195,Electronics,2024-02-16,1,486.35,486.35,South
305,CUST038361,PROD0160,Electronics,2023-09-27,4,695.48,2781.92,West
306,CUST082019,PROD0019,Electronics,2024-10-07,2,405.71,811.42,East
307,CUST002201,PROD0031,Clothing,2023-06-08,3,401.06,1203.18,South
308,CUST068498,PROD0140,Clothing,2024-12-11,3,227.04,681.12,North
309,CUST046976,PROD0008,Clothing,2024-05-16,4,180.26,721.04,South
310,CUST021358,PROD0056,Electronics,2023-05-16,3,99.28,297.84,East
311,CUST077506,PROD0129,Electronics,2024-07-02,1,66.11,66.11,West
312,CUST002870,PROD0164,Clothing,2023-10-09,4,724.65,2898.6,West
313,CUST061136,PROD0087,Clothing,2024-01-28,2,555.06,1110.12,East
314,CUST050109,PROD0066,Clothing,2023-08-05,2,712.13,1424.26,West
315,CUST094180,PROD0050,Books,2023-09-05,5,437.55,2187.75,West
316,CUST090273,PROD0134,Books,2023-02-27,2,601.89,1203.78,West
317,CUST038468,PROD0153,Books,2023-05-16,5,489.87,2449.35,East
318,CUST023329,PROD0162,Home,2024-09-08,2,225.89,451.78,South
319,CUST091413,PROD0014,Clothing,2023-03-30,1,268.32,268.32,North
320,CUST086832,PROD0043,Electronics,2023-03-13,1,219.89,219.89,East
321,CUST003988,PROD0195,Electronics,2024-05-18,2,410.85,821.7,East
322,CUST058872,PROD0047,Electronics,2024-01-16,2,354,708,West
323,CUST022400,PROD0199,Clothing,2023-12-12,2,362.16,724.32,West
324,CUST046215,PROD0084,Electronics,2024-04-07,5,776.25,3881.25,West
325,CUST099523,PROD0159,Books,2024-03-15,2,490.44,980.88,South
326,CUST086417,PROD0046,Electronics,2024-05-29,2,538.72,1077.44,East
327,CUST070272,PROD0164,Electronics,2024-07-20,4,275.53,1102.12,North
328,CUST044065,PROD0199,Books,2023-08-19,5,625.72,3128.6,South
329,CUST070092,PROD0133,Clothing,2023-10-07,2,307.54,615.08,South
330,CUST040819,PROD0076,Clothing,2023-10-05,5,453.25,2266.25,West
331,CUST045526,PROD0168,Clothing,2023-08-19,5,579.49,2897.45,North
332,CUST019831,PROD0116,Electronics,2024-09-16,4,49.14,196.56,West
333,CUST017430,PROD0055,Electronics,2023-09-17,3,180.51,541.53,East
334,CUST006894,PROD0136,Home,2024-10-22,1,530.53,530.53,South
335,CUST079910,PROD0090,Electronics,2024-05-24,4,514.77,2059.08,South
336,CUST047334,PROD0100,Electronics,2023-02-25,3,518.77,1556.31,East
337,CUST003437,PROD0075,Electronics,2023-01-13,5,99.88,499.4,South
338,CUST074291,PROD0166,Books,2023-10-20,2,713.2,1426.4,East
339,CUST076214,PROD0068,Electronics,2024-12-10,5,82.78,413.9,East
340,CUST005896,PROD0096,Electronics,2023-09-10,3,362.77,1088.31,North
341,CUST019739,PROD0157,Clothing,2023-02-14,5,593.35,2966.75,East
342,CUST030747,PROD0073,Electronics,2023-05-31,5,201.37,1006.85,East
343,CUST049378,PROD0109,Clothing,2024-07-17,5,757.19,3785.95,West
344,CUST048405,PROD0191,Books,2023-09-11,5,520.77,2603.85,West
345,CUST054046,PROD0039,Home,2023-01-16,4,579.11,2316.44,North
346,CUST097889,PROD0123,Clothing,2023-04-16,4,677.47,2709.88,West
347,CUST039791,PROD0088,Electronics,2024-12-26,2,260.38,520.76,South
348,CUST005601,PROD0049,Books,2023-10-22,5,27.06,135.3,East
349,CUST094661,PROD0142,Clothing,2023-12-26,4,713.03,2852.12,East
350,CUST093180,PROD0052,Clothing,2024-05-03,5,150.47,752.35,West
351,CUST040765,PROD0062,Electronics,2024-05-11,3,453.3,1359.9,South
352,CUST074544,PROD0007,Electronics,2024-01-20,2,313.86,627.72,South
353,CUST045715,PROD0033,Clothing,2023-12-19,1,569.4,569.4,North
354,CUST056836,PROD0060,Home,2023-01-23,2,435.83,871.66,South
355,CUST073745,PROD0198,Clothing,2024-08-25,5,65.92,329.6,East
356,CUST056492,PROD0132,Clothing,2023-11-27,2,187.31,374.62,East
357,CUST018590,PROD0183,Home,2023-01-15,2,336.17,672.34,North
358,CUST043485,PROD0021,Electronics,2023-07-08,3,718.51,2155.53,South
359,CUST082990,PROD0008,Clothing,2024-11-15,5,17.43,87.15,West
360,CUST036213,PROD0020,Clothing,2023-08-28,5,328.46,1642.3,South
361,CUST043526,PROD0177,Electronics,2023-05-05,1,749.87,749.87,North
362,CUST047203,PROD0011,Books,2024-01-21,2,409.02,818.04,West
363,CUST032636,PROD0187,Home,2023-02-21,4,201.25,805,South
364,CUST063209,PROD0168,Electronics,2024-04-09,3,243.36,730.08,East
365,CUST033829,PROD0193,Books,2023-08-06,1,122.62,122.62,West
366,CUST018712,PROD0121,Clothing,2023-12-13,2,15.04,30.08,East
367,CUST003421,PROD0155,Electronics,2023-06-12,1,128.88,128.88,South
368,CUST096753,PROD0048,Home,2023-01-02,1,407.95,407.95,North
369,CUST000302,PROD0022,Electronics,2024-07-28,2,191.6,383.2,East
370,CUST045237,PROD0145,Clothing,2023-10-04,5,199.8,999,South
